지역코드,시설일련번호,시도명,시군구명,시설명,상세주소,시설면적,경도,위도
4167000000,18,경기도,여주시,천송2통 마을회관,경기도 여주시 천송동 540-1,165,127.65467367749211,37.301609226875144
4167000000,31,경기도,여주시,여주시여성회관,경기도 여주시 천송동 553,2764,127.65213995668078,37.3001950293982
4167000000,17,경기도,여주시,오학2통 마을회관,경기도 여주시 오학동 45-6,165,127.65710314679053,37.31758477692279
4167000000,19,경기도,여주시,현암2통 마을회관,경기도 여주시 현암동 77-22,165,127.64309827822575,37.32261434731284
4163000000,46,경기도,양주시,하늘물 공원,경기도 양주시 광사동 659,75051,127.0820486775563,37.79264608465684
4163000000,48,경기도,양주시,나누리공원,경기도 양주시 광사동 714,28566,127.07695874850987,37.79225207082867
4163000000,47,경기도,양주시,토리근린공원,경기도 양주시 광사동 683,46581,127.08223481387375,37.79039602764256
4163000000,6,경기도,양주시,삼숭초등학교 운동장,경기도 양주시 삼숭동 679-2,3424,127.10812378695056,37.79641581884225
4165000000,51,경기도,포천시,영북체육문화센터,경기도 포천시 영북면 운천리 567,3200,127.27350899353539,38.084924138785595
4165000000,54,경기도,포천시,관인체육문화센터,경기도 포천시 관인면 초과리 127,2300,127.24480748868393,38.15282709402524
4165000000,50,경기도,포천시,운천어린이공원,경기도 포천시 영북면 운천리 548-4,2150,127.27080692349678,38.088095618712195
4165000000,44,경기도,포천시,노곡초등학교 운동장,경기도 포천시 이동면 노곡리 846-6,4780,127.33555971075221,38.0079476397484
4180000000,26,경기도,연천군,초성초등학교 운동장,경기도 연천군 청산면 초성리 223-1,2900,127.07344335726187,37.997817204176485
4180000000,15,경기도,연천군,궁평초등학교 운동장,경기도 연천군 청산면 궁평리 432-1,1900,127.10478167247557,38.02764214093528
4165000000,26,경기도,포천시,외북초등학교 운동장,경기도 포천시 신북면 계류리 54-3,3800,127.1875173979288,37.946626691250096
4165000000,27,경기도,포천시,삼정초등학교 운동장,경기도 포천시 신북면 삼정리 405-1,2200,127.13148871708476,37.96413336417376
4165000000,31,경기도,포천시,창수교육문화센터,경기도 포천시 창수면 추동리 73-2,2000,127.18364529458701,37.99055429713869
4165000000,30,경기도,포천시,창수초등학교 운동장,경기도 포천시 창수면 추동리 117-2,4400,127.18210313867755,37.9896478874295
4165000000,35,경기도,포천시,영중중학교 운동장,경기도 포천시 영중면 양문리 611-3,7600,127.24530917976406,38.0001650011596
4165000000,36,경기도,포천시,영중체육문화센터,경기도 포천시 영중면 양문리 833,6000,127.24516200702621,38.00600834704296
4165000000,62,경기도,포천시,포담초등학교 운동장,경기도 포천시 영중면 양문리 878-5,0,127.26055850120828,37.97349835421734
4165000000,41,경기도,포천시,일동체육문화센터,경기도 포천시 일동면 기산리 96-121,3000,127.31403677889242,37.95774797692576
4165000000,39,경기도,포천시,일동고등학교 운동장,경기도 포천시 일동면 기산리 96-59,11830,127.31516772045097,37.96026995510018
4165000000,38,경기도,포천시,일동초등학교 운동장,경기도 포천시 일동면 기산리 281-1,6000,127.31441748647009,37.95487122971804
4165000000,40,경기도,포천시,일동장터공영주차장,경기도 포천시 일동면 기산리 94-36,8900,127.32010608431595,37.95939375133751
4165000000,37,경기도,포천시,운담초등학교 운동장,경기도 포천시 일동면 화대리 608-2,4680,127.32943756593177,37.97150464720951
4165000000,45,경기도,포천시,이동중학교 운동장,경기도 포천시 이동면 장암리 180-1,7630,127.37324259416019,38.03063784111308
4165000000,43,경기도,포천시,이동초등학교 운동장,경기도 포천시 이동면 장암리 252-3,8160,127.36780181511833,38.029339971822495
4165000000,46,경기도,포천시,이동생태공원,경기도 포천시 이동면 장암리 614-1,1600,127.36865845761702,38.04144336934839
4165000000,42,경기도,포천시,도평초등학교 운동장,경기도 포천시 이동면 도평리 356-1,3800,127.38080116310111,38.05596874244794
4687000000,7,전라남도,영광군,백수서초등학교,전라남도 영광군 백수읍 대전리 404,3988,126.39656650132306,35.282142023319956
4687000000,9,전라남도,영광군,홍농중학교,전라남도 영광군 홍농읍 상하리 345,11157,126.44727940228842,35.401435456768766
4687000000,8,전라남도,영광군,홍농초등학교,전라남도 영광군 홍농읍 상하리 222,9394,126.44823354694854,35.39946661188189
